Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,precision_score,Time Taken
LinearSVC,1.0,1.0,1.0,1.0,1.0,29.64537501335144
CalibratedClassifierCV,1.0,1.0,1.0,1.0,1.0,137.41245985031128
RidgeClassifierCV,1.0,1.0,1.0,1.0,1.0,1878.6916041374207
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,25.882795095443726
PassiveAggressiveClassifier,1.0,1.0,1.0,1.0,1.0,8.872475624084473
LogisticRegression,1.0,1.0,1.0,1.0,1.0,11.024808168411255
LinearDiscriminantAnalysis,0.9995948136142626,0.9987700483857384,0.9987700483857384,0.9995948136142626,0.9977628635346756,2039.23886013031
Perceptron,0.9983792544570502,0.9981017480961416,0.9981017480961415,0.9983841150076604,0.9845474613686535,13.791229486465454
SVC,0.9916936790923825,0.9944260965033591,0.9944260965033591,0.9918491640293063,0.9176954732510288,790.0473515987396
QuadraticDiscriminantAnalysis,0.9795380875202593,0.988750278458454,0.988750278458454,0.9804602017644947,0.8156934306569343,1618.706220626831
SGDClassifier,0.9882495948136143,0.9351230425055929,0.9351230425055929,0.9878796966347557,1.0,11.032122135162354
XGBClassifier,0.9837925445705025,0.9346869778125301,0.93468697781253,0.9835204914058784,0.9421686746987952,201.0711486339569
LGBMClassifier,0.9831847649918962,0.9333456428166689,0.9333456428166689,0.9829116838799057,0.9375,128.50026082992554
AdaBoostClassifier,0.971839546191248,0.8918567036599034,0.8918567036599034,0.9711634660909838,0.8830845771144279,553.1209695339203
BaggingClassifier,0.9716369529983793,0.8836878414698022,0.8836878414698022,0.9707108454938488,0.896640826873385,3917.949773311615
GaussianNB,0.88290113452188,0.8761964992228082,0.8761964992228081,0.8996305127666474,0.42778390297684676,10.599820137023926
DecisionTreeClassifier,0.9529983792544571,0.8684046461073377,0.8684046461073377,0.9535050805435755,0.7292110874200426,746.9081981182098
NearestCentroid,0.8296191247974068,0.8408595607557724,0.8408595607557724,0.8600309232633403,0.3298791018998273,9.513087272644043
RandomForestClassifier,0.9653565640194489,0.823832604980706,0.8238326049807061,0.9623808873174565,0.9509803921568627,416.4451427459717
BernoulliNB,0.7714748784440842,0.7867344635133457,0.7867344635133459,0.816876015326854,0.2569593147751606,14.815185785293579
ExtraTreesClassifier,0.955226904376013,0.7608538993901572,0.7608538993901572,0.9490659294900046,0.9669421487603306,50.01722192764282
ExtraTreeClassifier,0.9209886547811994,0.7390085533466595,0.7390085533466595,0.9192251430723871,0.5703703703703704,7.4206695556640625
KNeighborsClassifier,0.9201782820097245,0.5592841163310962,0.5592841163310962,0.890406382403255,1.0,19.477843523025513
LabelSpreading,0.9094408427876823,0.5,0.5,0.8663087412782826,0.0,58.61662197113037
LabelPropagation,0.9094408427876823,0.5,0.5,0.8663087412782826,0.0,54.61053729057312
DummyClassifier,0.9094408427876823,0.5,0.5,0.8663087412782826,0.0,5.5771448612213135
